w,a,p
1500,1.14868,0.01039
1502,1.14868,0.01039
1504,1.16753,0.01257
1506,1.18058,0.02543
1508,1.18645,0.0378
1510,1.18126,0.05171
1512,1.16878,0.06124
1514,1.14991,0.0615
1516,1.1292,0.05012
1518,1.12203,0.03534
1520,1.11926,0.01715
1522,1.12445,-0.00137
1524,1.13702,-0.01376
1526,1.15291,-0.02316
1528,1.1685,-0.02567
1530,1.18644,-0.02387
1532,1.19899,-0.01893
1534,1.21226,-0.00884
1536,1.21554,0.00334
1538,1.21158,0.01182
1540,1.19839,0.02014
1542,1.18657,0.02029
1544,1.17337,0.01498
1546,1.16632,0.00727
1548,1.15724,-0.0058
1550,1.1569,-0.01998
1552,1.16574,-0.03221
1554,1.17192,-0.0455
1556,1.18765,-0.05461
1558,1.20662,-0.05977
1560,1.2283,-0.05985
1562,1.24887,-0.05632
1564,1.26763,-0.04292
1566,1.28026,-0.02646
1568,1.28852,-0.00831
1570,1.2829,0.00827
1572,1.27278,0.02133
1574,1.25665,0.03008
1576,1.24218,0.0322
1578,1.22725,0.03033
1580,1.21672,0.02739
1582,1.21281,0.02022
1584,1.20694,0.00979
1586,1.20882,0.00368
1588,1.21264,-0.00538
1590,1.21905,-0.01035
1592,1.22918,-0.01374
1594,1.23607,-0.0138
1596,1.24521,-0.0103
1598,1.24779,-0.00708
1600,1.24777,-0.00166
1602,1.24772,0.00344
1604,1.24515,0.00503
1606,1.2419,0.005
1608,1.23287,0.00344
1610,1.23027,-0.00143
1612,1.23315,-0.00711
1614,1.24043,-0.01139
1616,1.24682,-0.01376
1618,1.25954,-0.01198
1620,1.27113,-0.00737
1622,1.27929,0.003
1624,1.28573,0.01396
1626,1.28569,0.02583
1628,1.28303,0.0338
1630,1.27679,0.04075
1632,1.27407,0.04344
1634,1.27407,0.04243
1636,1.27435,0.04052
1638,1.28581,0.03901
1640,1.29657,0.03902
1642,1.31517,0.04095
1644,1.32944,0.04714
1646,1.347,0.0543
1648,1.35319,0.0673
1650,1.35043,0.07804
1652,1.33835,0.08329
1654,1.32593,0.07804
1656,1.31666,0.06743
1658,1.31207,0.05087
1660,1.31812,0.03435
1662,1.3222,0.01968
1664,1.33495,0.0065
1666,1.35017,-0.00385
1668,1.36137,-0.01012
1670,1.37602,-0.01375
1672,1.38591,-0.01373
1674,1.39262,-0.01045
1676,1.39389,-0.00682
1678,1.39029,-0.00376
1680,1.38203,-0.00187
1682,1.37928,0.00167
1684,1.37928,0.00155
1686,1.38242,0.00299
1688,1.38798,0.01032
1690,1.39449,0.01965
1692,1.40542,0.03358
1694,1.41138,0.05156
1696,1.41101,0.06952
1698,1.41725,0.08785
1700,1.41726,0.10059
1702,1.42417,0.10899
1704,1.44405,0.11044
1706,1.48759,0.11586
1708,1.54933,0.12634
1710,1.62583,0.14753
1712,1.71591,0.18005
1714,1.8081,0.22925
1716,1.89856,0.29356
1718,1.98176,0.3682
1720,2.04885,0.4533
1722,2.0881,0.54932
1724,2.08903,0.64991
1726,2.04427,0.7538
1728,1.95542,0.85467
1730,1.82582,0.94706
1732,1.66241,1.03005
1734,1.48046,1.09847
1736,1.28729,1.14887
1738,1.0914,1.17305
1740,0.90131,1.15722
1742,0.72468,1.06975
1744,0.58431,0.88718
1746,0.50378,0.62235
1748,0.49488,0.36825
1750,0.53702,0.20333
1752,0.59962,0.10704
1754,0.65377,0.05256
1756,0.69772,0.02432
1758,0.72703,0.00802
1760,0.74835,-0.00693
1762,0.76202,-0.02167
1764,0.77113,-0.03822
1766,0.78448,-0.05526
1768,0.80277,-0.07126
1770,0.82385,-0.0806
1772,0.84566,-0.07903
1774,0.87076,-0.06842
1776,0.8882,-0.05037
1778,0.90374,-0.03109
1780,0.91345,-0.01075
1782,0.91744,0.00583
1784,0.91757,0.01795
1786,0.92073,0.02691
1788,0.92049,0.03067
1790,0.92694,0.0305
1792,0.92826,0.02886
1794,0.93213,0.02682
1796,0.93886,0.02093
1798,0.94586,0.01691
1800,0.94971,0.0117
1802,0.95884,0.00721
1804,0.9615,0.00155
1806,0.96723,-0.00737
1808,0.97298,-0.01334
1810,0.97604,-0.02403
1812,0.97889,-0.03195
1814,0.98807,-0.04129
1816,0.99042,-0.04787
1818,0.9996,-0.05143
1820,1.00522,-0.05123
1822,1.00817,-0.04958
1824,1.00816,-0.04436
1826,1.00841,-0.03779
1828,1.00294,-0.03073
1830,0.99348,-0.02571
1832,0.98649,-0.02414
1834,0.97661,-0.02229
1836,0.97308,-0.02212
1838,0.97309,-0.02399
1840,0.97309,-0.02398
1842,0.97623,-0.02139
1844,0.98364,-0.01584
1846,0.99081,-0.00685
1848,0.9999,0.00243
1850,1.00523,0.01314
1852,1.00772,0.026
1854,1.01715,0.03613
1856,1.01977,0.04386
1858,1.02291,0.0474
1860,1.02604,0.05209
1862,1.0331,0.05264
1864,1.03723,0.05264
1866,1.04659,0.05265
1868,1.05159,0.04922
1870,1.06084,0.0492
1872,1.06687,0.04753
1874,1.06626,0.04582
1876,1.07243,0.04071
1878,1.07244,0.03774
1880,1.07244,0.0288
1882,1.06949,0.0199
1884,1.06952,0.00907
1886,1.06952,-0.00359
1888,1.07236,-0.01674
1890,1.07548,-0.03047
1892,1.07797,-0.0411
1894,1.08417,-0.05218
1896,1.09325,-0.0592
1898,1.09586,-0.06343
1900,1.09586,-0.06343
